Location ID,Practice Name,extracted_postcode,display_address,lat,lon,geocode_precision,admin_district,City / Town,Region,ASM Name,Area,Nation
,168 Dental Practice,NP19 7FY,"168 Caerleon Road, Newport, NP19 7FY",51.597016,-2.981471,exact,Newport,,,,,Wales
,22 Dental,CF31 1DQ,"22a Caroline Street, Bridgend, CF31 1DQ",51.505896,-3.57782,exact,Bridgend,,,,,Wales
,DentalNova,NP44 1DZ,"26 Commercial Street, Cwmbran, NP44 1DZ",51.661033,-3.025043,exact,Torfaen,,,,,Wales
,91 Dental Care,CH7 1BQ,"91 High Street, Mold, CH7 1BQ",53.168504,-3.142869,exact,Flintshire,,,,,Wales
,Abersoch Dental Care,LL53 7EN,"19 Cae Du, Abersoch, Gwynedd, LL53 7EN",52.82225,-4.508831,exact,Gwynedd,,,,,Wales
,Abersychan Dental Surgery,NP4 7BQ,"10 Broad Street, Pontypool, NP4 7BQ",51.723396,-3.058737,exact,Torfaen,,,,,Wales
,Abertillery Dental Care,NP13 1DJ,"3a Somerset Street, Abertillery, NP13 1DJ",51.729983,-3.13426,exact,Blaenau Gwent,,,,,Wales
,Abertridwr Dental Surgery,CF83 4AU,"5 Thomas Street, Caerphilly, CF83 4AU",51.595941,-3.270527,exact,Caerphilly,,,,,Wales
,Absolute Dental Care,SA70 7LG,"Clifton Rock, Tenby, SA70 7LG",51.673097,-4.702787,exact,Pembrokeshire,,,,,Wales
,Achddu Villa Dental Practice,SA16 0BH,"18 Stepney Road, Burry Port, SA16 0BH",51.68467,-4.249035,exact,Carmarthenshire,,,,,Wales
,Advance Dental Care,CF62 8AS,"Lakin Drive, Barry, CF62 8AS",51.41593,-3.291054,exact,Vale of Glamorgan,,,,,Wales
,Alison Jones Dental Practice,CF63 1BA,"45 Barry Road, Barry, CF63 1BA",51.413568,-3.25767,exact,Vale of Glamorgan,,,,,Wales
,Alison Jones Dental Practice (Cardiff),CF14 3JQ,"101 Whitchurch Road, Gabalfa, CF14 3JQ",51.503496,-3.193448,exact,Cardiff,,,,,Wales
,Amlwch Dental Practice,LL68 9BP,"14 Salem Street, Anglesey, LL68 9BP",53.408947,-4.344428,exact,Isle of Anglesey,,,,,Wales
,Angel Way Dental Care,CF81 8PA,"58 Cardiff Road, Bargoed, CF81 8PA",51.687051,-3.229648,exact,Caerphilly,,,,,Wales
,Avenue Villa Dental Surgery,SA15 2TP,"Queen Victoria Road, Llanelli, SA15 2TP",51.679109,-4.164049,exact,Carmarthenshire,,,,,Wales
,MyDentist â€“ Whitland,SA34 0AP,"Lomead House, Whitland, Carmarthenshire, SA34 0AP",51.81832,-4.613926,exact,Carmarthenshire,,,,,Wales
,Hickman House Dental Surgery,CF64 2AJ,"25 Hickman Road, Penarth, CF64 2AJ",51.437777,-3.175203,exact,Vale of Glamorgan,,,,,Wales
,High Street Dental Practice,CF71 7AF,"57 High Street, Cowbridge, CF71 7AF",51.462534,-3.450431,exact,Vale of Glamorgan,,,,,Wales
,Hillcrest Dental Practice,CF3 4LJ,"866 Newport Road, Rumney, CF3 4LJ",51.511055,-3.127431,exact,Cardiff,,,,,Wales
,Hilltop View Dental Practice,NP12 1AJ,"222 High Street, Blackwood, NP12 1AJ",51.663688,-3.193258,exact,Caerphilly,,,,,Wales
,Holton Road Care,CF63 4HP,"157 Holton Road, Barry, CF63 4HP",51.40628,-3.264759,exact,Vale of Glamorgan,,,,,Wales
,Honeyfields Dental,LL18 2TP,"Rhyl Road, Rhuddlan, LL18 2TP",53.293674,-3.461283,exact,Denbighshire,,,,,Wales
,Huw Jones Dental Surgery,SA67 7AA,"The Health Centre, Narberth, SA67 7AA",51.80052,-4.743824,exact,Pembrokeshire,,,,,Wales
,Llantrisant Dental Surgery,CF72 8EX,"15 Newbridge Road, Pontyclun, CF72 8EX",51.543375,-3.372748,exact,Rhondda Cynon Taf,,,,,Wales
,Fountain Dental Centre,CF47 8DP,"147 High Street, Merthyr Tydfil, CF47 8DP",51.74375,-3.378278,exact,Merthyr Tydfil,,,,,Wales
,Freeman and Rosser Dental Practice,SA31 3DY,"Catherine Street, Carmarthen, SA31 3DY",51.85736,-4.312942,exact,Carmarthenshire,,,,,Wales
,MyDentist â€“ Friars Dental Clinic,SY23 1PB,"Park Avenue, Aberystwyth, SY23 1PB",52.412581,-4.082071,exact,Ceredigion,,,,,Wales
