Practice Name,lat,lon,display_address,Nation
Fergus P. Cahill,53.2309447,-6.1228151,Dublin,Ireland
Bishop Street Dental Practice,51.8537141,-8.2935319,"8 Bishop Street, Cobh, Cork",Ireland
Killaloe Dental Surgery,52.8043567,-8.4486857,"2 Ryagan House, Killaloe, Clare",Ireland
D6 Dental (Connellan & Associates),53.3207259,-6.2676656,"188 Rathgar Road, Dublin, D06 H6P4",Ireland
Meridian Clinic,53.3956658,-6.4387734,"The Avenue, Dublin",Ireland
Dr. E. Guinan,52.811608,-8.437299,Tipperary,Ireland
Cahill's Dental Clinic,53.3706074,-6.2677642,"108 Saint Mobhi Road, Dublin",Ireland
Dental Care Ireland,52.2422858,-7.0870988,Waterford,Ireland
IFSC Dental Care,53.3492432,-6.2418961,"Mayor Street Lower, Dublin",Ireland
The Doves Dental Surgery,52.8671916,-8.1987963,Tipperary,Ireland
Brian Byrne,54.272367,-8.4795744,"Wine Street, Sligo",Ireland
Dental Practice,51.9043397,-8.4772866,"Shandon Street, Cork",Ireland
Elaine McCarthy,51.8875165,-8.5923502,"Station Road, Ballincollig, Cork",Ireland
The Dental Suite,52.9912587,-6.9830432,"Emily Square, Kildare",Ireland
Richenda Bailey,52.9905218,-6.9881551,Kildare,Ireland
Denis Healy Dental Surgeon,53.1995912,-8.5710063,"Abbey Street, Galway",Ireland
Phoenix Dental,53.3763652,-6.3331516,"Ashtown Road, Dublin",Ireland
T. A. Boylan,53.3336905,-6.2907542,"28 Dolphin's Barn Street, Dublin",Ireland
Riverforest Dental,53.371191,-6.4877529,Kildare,Ireland
Schull Dental Clinic,51.5269325,-9.5443035,"Main Street, Cork",Ireland
Renmore Dental,53.2794744,-9.0241837,"5 Dublin Road, Galway",Ireland
Liberty Dental,52.6792302,-7.8107731,Tipperary,Ireland
Thurles Dentist,52.6793823,-7.809221,Tipperary,Ireland
Clondalkin Dental,53.3207948,-6.3948556,Dublin,Ireland
Crescent Dental,52.6365442,-8.644811,Limerick,Ireland
Roscam Family Dental Practice,53.2766831,-8.9740362,Galway,Ireland
Claregalway Dental Practice,53.341021,-8.9463507,Galway,Ireland
PD Ceramics Limited,53.204146,-8.5458886,Galway,Ireland
Kingston Dental,53.2622831,-9.105089,"Shangort Road, Galway",Ireland
Sheridans Dental,53.2767818,-9.0768062,"7 Westside Enterprise Park, Galway",Ireland
Abbey Dental Practice & Dental Lab,53.2913237,-6.6865717,"Main Street, Clane, Kildare",Ireland
Western Dental,54.0571723,-8.7230104,Sligo,Ireland
Smiles,53.2865894,-6.2393682,"8 Selskar Avenue, Wexford",Ireland
South Dublin Dental,53.3077398,-6.208374,"3 Seafield Park, Dublin",Ireland
Fitzwilliam Clinic,53.2039585,-6.0992517,"5 Fitzwilliam Terrace, Strand Road, Bray, Wicklow",Ireland
Railway Dental Surgery,53.9887831,-7.3626269,Cavan,Ireland
Dr. T Boland,53.968252,-8.302601,"Boyle, Roscommon",Ireland
Ice White Dental,53.968556,-8.302668,"Elphin Street, Boyle, Roscommon",Ireland
Ayrfield Dental Surgery,52.6577702,-7.26124,"Granges Road, Kilkenny",Ireland
